id,country,state
1,United States,Florida
2,United States,Utah
3,United States,Georgia
4,United States,Louisiana
5,United States,New York
6,United States,District of Columbia
7,United States,Indiana
8,United States,Ohio
9,Germany,Hamburg
10,Germany,Niedersachsen
11,United States,Kentucky
12,Germany,Sachsen
13,United States,California
14,United States,Florida
15,Germany,Nordrhein-Westfalen
16,United States,Missouri
17,United States,Florida
18,United States,Texas
19,United States,Delaware
20,United States,Mississippi
