order_id,product_id,price,quantity
77,20,14.22,3
293,80,15.57,2
293,64,6.42,1
43,17,23.0,1
25,81,23.42,3
71,61,16.45,3
87,76,25.92,3
20,75,15.26,3
89,24,16.26,2
146,11,24.79,2
249,58,29.7,1
182,44,1.95,1
94,65,27.4,1
195,74,21.61,1
95,56,14.17,1
2,84,20.37,3
254,53,26.2,3
250,16,4.26,3
84,67,12.06,2
64,62,3.6,3
128,19,20.41,3
154,66,5.86,1
130,80,10.13,3
62,50,17.61,2
2,28,26.77,1
91,41,29.07,1
132,41,15.06,2
260,39,26.0,1
154,38,25.35,1
131,1,22.6,1
224,57,23.01,1
6,95,8.37,3
136,86,12.86,2
291,1,27.2,2
27,5,3.92,3
250,2,28.02,3
165,87,16.24,1
136,77,29.51,2
131,20,17.67,2
29,68,2.85,3
255,86,15.21,3
251,47,8.78,2
214,85,25.66,3
222,88,3.78,3
173,27,19.07,1
185,64,7.65,1
152,77,6.26,2
90,2,16.51,3
18,37,14.93,3
36,6,19.45,3
122,9,26.91,3
12,25,20.66,3
125,45,26.08,3
215,100,4.63,1
247,47,14.47,2
111,41,23.29,3
46,47,17.35,3
21,20,1.27,1
213,74,11.14,3
86,32,5.88,1
292,92,16.97,2
149,66,12.36,2
6,9,21.08,3
3,87,29.4,2
60,19,5.94,3
187,64,11.87,1
60,79,7.04,2
102,45,7.66,3
295,100,12.12,2
213,87,2.62,2
209,28,18.52,2
182,10,27.87,2
7,94,14.79,3
117,75,2.79,3
27,57,7.1,3
120,37,1.19,2
34,88,4.31,1
202,32,25.51,2
49,42,16.41,2
264,79,25.72,2
229,91,19.7,3
48,99,24.76,3
87,100,8.14,3
258,18,5.17,3
220,58,9.19,2
36,64,21.75,3
270,68,5.83,3
120,93,22.72,2
46,11,4.74,1
238,21,28.24,2
266,70,11.35,3
86,66,19.01,1
90,55,28.38,2
78,54,6.75,3
157,50,1.62,3
23,59,27.86,1
51,23,24.3,1
95,61,22.06,1
247,96,20.28,2
106,39,4.41,2
54,32,21.67,3
253,91,27.72,3
269,50,2.19,3
280,49,24.0,3
178,59,23.93,3
115,24,2.67,3
227,35,12.0,3
100,44,28.21,3
185,32,8.79,3
161,21,5.4,1
194,24,18.73,3
259,5,27.86,3
177,77,9.29,2
3,90,3.64,1
200,92,19.21,2
100,15,1.69,1
277,25,14.29,3
137,78,12.99,3
77,43,8.72,2
105,50,19.82,1
90,72,15.73,2
211,15,15.93,2
180,57,20.38,3
196,91,8.94,1
288,83,24.67,2
186,39,16.64,1
291,27,18.29,1
27,79,1.55,2
126,12,26.59,3
259,42,18.94,3
231,55,2.27,3
79,55,22.18,2
179,1,23.38,2
61,38,10.05,1
22,21,13.75,3
262,91,2.68,1
268,72,4.0,2
190,8,5.13,2
277,21,16.83,3
180,71,21.36,3
108,57,28.06,2
156,87,11.24,2
227,22,16.16,2
22,18,28.55,1
113,98,9.33,3
47,59,15.13,1
102,83,3.78,3
65,31,29.65,1
85,18,29.2,1
45,40,17.02,2
279,74,16.98,2
249,25,29.01,3
211,72,4.37,2
193,62,28.05,3
121,7,22.81,2
166,58,19.45,3
285,94,10.32,2
3,99,6.69,1
153,88,6.16,1
291,16,1.61,3
25,6,6.05,1
3,37,22.38,1
223,67,22.49,3
67,91,17.88,2
6,57,10.94,1
7,39,10.04,1
34,32,16.11,3
6,75,19.43,2
173,14,19.54,3
121,41,16.66,1
9,61,11.82,3
93,77,4.88,2
78,4,18.73,1
214,17,21.82,3
64,92,20.13,1
219,17,3.17,3
215,76,2.01,3
261,54,28.02,1
237,68,2.19,3
200,11,23.48,1
155,7,29.17,1
38,1,4.94,1
119,11,24.14,2
125,55,27.28,1
84,9,25.99,3
190,45,18.77,2
229,10,10.61,2
3,62,10.35,2
100,77,12.8,3
205,51,23.76,3
82,59,17.6,1
228,45,29.08,3
228,90,24.12,3
35,42,12.7,1
19,74,10.45,1
209,46,21.85,1
238,6,9.82,2
234,38,27.25,3
272,32,30.0,3
261,60,9.04,2
276,93,26.12,1
15,17,6.22,3
38,13,27.84,3
158,89,11.68,1
290,52,18.04,3
103,97,28.52,2
270,94,27.4,3
251,30,21.77,1
103,85,19.47,3
210,8,17.33,2
172,3,14.66,1
209,17,29.05,3
244,81,20.77,1
105,85,11.99,1
188,1,21.76,2
243,17,3.96,3
55,11,15.34,1
118,43,20.35,1
54,7,25.41,3
75,14,25.55,3
43,20,17.68,2
159,6,23.34,3
115,41,26.17,2
102,38,25.75,1
45,44,27.96,2
66,99,20.69,2
239,82,16.55,2
101,43,20.52,2
150,95,12.16,3
37,87,28.83,2
76,13,10.41,2
3,23,4.31,1
154,79,14.23,1
256,39,24.82,1
87,36,3.73,3
107,99,14.26,3
24,99,18.41,2
226,18,9.92,3
136,73,3.87,2
47,60,28.45,1
131,80,5.54,3
118,9,21.8,2
115,39,23.99,1
182,95,22.84,3
201,21,20.98,3
50,19,28.32,1
184,3,21.74,3
230,71,3.34,2
26,32,9.27,3
279,25,24.91,2
37,77,20.85,3
128,78,16.35,2
245,75,23.37,3
129,100,15.82,2
284,51,10.63,1
288,61,1.67,1
147,54,24.06,2
66,92,17.8,2
232,38,17.63,3
1,4,6.56,1
26,91,18.11,2
18,93,26.94,1
100,7,24.35,2
77,47,14.01,3
224,12,16.06,2
141,30,17.58,3
170,16,14.05,2
287,70,25.32,1
269,61,13.53,2
269,63,21.65,2
92,7,12.78,2
271,34,2.74,3
69,99,3.17,1
96,95,13.25,1
13,21,11.1,2
295,31,15.87,3
81,7,22.79,2
157,32,6.57,2
259,49,16.07,3
58,47,14.96,3
66,72,2.39,1
268,37,3.07,2
284,11,12.68,1
14,13,29.47,1
206,17,20.31,2
247,20,11.9,2
108,13,23.61,3
192,25,7.05,1
121,5,29.15,1
255,4,16.78,3
140,91,3.32,1
210,89,4.06,3
186,62,28.75,3
56,12,17.15,2
240,9,4.4,1
95,72,21.21,2
237,11,1.3,3
42,45,22.19,3
192,83,7.85,1
35,82,8.3,2
199,89,26.14,1
190,20,10.28,3
239,8,4.45,2
267,49,16.3,2
9,59,12.31,1
206,12,15.07,2
119,72,1.4,3
146,95,16.38,3
138,67,26.66,1
21,89,10.92,1
166,86,19.36,1
83,95,4.69,3
261,57,15.5,1
159,2,12.46,1
129,7,25.3,2
222,6,14.79,3
227,38,6.22,1
292,47,25.5,3
268,13,27.57,1
158,47,28.4,1
281,60,16.66,2
175,14,1.84,2
108,8,11.09,3
81,93,21.16,2
26,4,4.21,1
249,34,23.41,3
126,35,24.76,1
132,18,21.99,2
192,45,16.77,1
251,88,11.6,2
111,79,6.42,1
121,81,9.94,2
288,59,25.09,3
28,22,12.26,1
46,77,20.6,2
40,40,3.02,1
125,85,5.15,3
77,41,6.86,2
66,55,10.12,3
182,95,2.2,3
155,95,25.19,2
48,61,8.56,3
70,44,11.65,2
144,76,5.2,2
292,1,16.98,3
125,34,3.64,1
293,42,17.58,2
261,84,3.83,3
286,8,2.19,2
170,97,15.33,1
125,28,6.0,1
12,34,15.02,1
150,8,15.67,1
209,66,11.3,2
295,69,24.92,3
62,9,23.06,2
208,80,13.76,3
272,10,27.32,2
63,61,8.95,2
168,84,12.33,3
143,19,17.89,1
140,81,23.58,3
168,61,7.12,2
49,38,17.77,3
247,80,6.82,1
293,19,20.72,3
291,76,27.27,1
135,11,20.7,1
130,59,4.85,2
54,82,27.28,2
240,82,24.81,3
42,95,25.64,3
15,30,10.36,3
206,8,17.85,3
217,29,9.96,3
147,12,5.61,1
103,35,29.18,3
27,13,7.89,1
219,69,21.6,2
100,10,4.65,2
121,38,27.41,2
137,61,15.27,1
297,62,13.12,3
116,45,4.84,3
